,股名,股號,成交價,漲跌,漲跌幅(%),最高,最低,價差,成交量(張),成交值(億)
0,瑞軒,2489.TW,20.95,1.90,9.97%,20.95,1.90,9.97%,20.95,18.30
1,淳紳,4529.TWO,9.93,0.90,9.97%,9.93,0.90,9.97%,9.93,9.84
2,宏遠,1460.TW,12.70,1.15,9.96%,12.70,1.15,9.96%,12.70,11.60
3,淘帝-KY,2929.TW,8.64,0.78,9.92%,8.64,0.78,9.92%,8.64,8.64
4,雃博,4106.TW,38.25,3.45,9.91%,38.25,3.45,9.91%,38.25,36.60
5,大將,1453.TW,11.65,1.05,9.91%,11.65,1.05,9.91%,11.65,10.30
6,磐儀,3594.TWO,31.70,2.85,9.88%,31.70,2.85,9.88%,31.70,27.50
7,中櫃,2613.TW,30.60,2.75,9.87%,30.60,2.75,9.87%,30.60,26.20
8,大東,1441.TW,15.70,1.40,9.79%,15.70,1.40,9.79%,15.70,12.95
9,鼎固-KY,2923.TW,35.95,3.20,9.77%,35.95,3.20,9.77%,36.00,32.35
10,華擎,3515.TW,185.50,16.50,9.76%,185.50,16.50,9.76%,185.50,169.00
11,聯發,1459.TW,14.10,1.25,9.73%,14.10,1.25,9.73%,14.10,12.85
12,宏洲,1413.TW,13.05,1.15,9.66%,13.05,1.15,9.66%,13.05,12.50
13,邑昇,5291.TWO,31.85,2.80,9.64%,31.85,2.80,9.64%,31.95,26.75
14,點序,6485.TWO,122.50,10.50,9.38%,122.50,10.50,9.38%,123.00,101.50
15,正達,3149.TW,41.30,3.50,9.26%,41.30,3.50,9.26%,41.55,35.80
16,臺慶科,3357.TWO,158.00,12.00,8.22%,158.00,12.00,8.22%,159.00,137.50
17,尚茂,8291.TWO,8.10,0.59,7.86%,8.10,0.59,7.86%,8.10,7.60
18,凌群,2453.TW,27.35,1.85,7.25%,27.35,1.85,7.25%,27.35,24.20
19,常珵,8097.TWO,23.70,1.55,7.00%,23.70,1.55,7.00%,24.00,21.30
20,敦泰,3545.TW,191.50,12.00,6.69%,191.50,12.00,6.69%,194.50,168.00
21,信驊,5274.TWO,"2,190.00",135.00,6.57%,"2,190.00",135.00,6.57%,"2,220.00","2,040.00"
22,普誠,6129.TWO,34.20,2.05,6.38%,34.20,2.05,6.38%,35.15,28.95
