,股名,股號,成交價,漲跌,漲跌幅(%),最高,最低,價差,成交量(張),成交值(億)
90,萬潤,6187.TWO,134.50,9.50,7.60%,134.50,9.50,7.60%,135.50,127.00
91,致和證,5864.TWO,22.15,1.55,7.52%,22.15,1.55,7.52%,22.15,20.70
92,蔚華科,3055.TW,31.80,2.20,7.43%,31.80,2.20,7.43%,32.55,29.70
93,興勤,2428.TW,211.50,14.50,7.36%,211.50,14.50,7.36%,215.50,198.50
94,新鋼,2032.TW,39.05,2.65,7.28%,39.05,2.65,7.28%,40.00,37.30
95,晉椿,2064.TWO,21.45,1.45,7.25%,21.45,1.45,7.25%,21.90,19.95
96,威鋒電子,6756.TW,450.00,30.00,7.14%,450.00,30.00,7.14%,459.00,441.50
97,位速,3508.TWO,22.90,1.50,7.01%,22.90,1.50,7.01%,23.50,21.40
98,加百裕,3323.TWO,53.50,3.50,7.00%,53.50,3.50,7.00%,53.90,51.10
99,車王電,1533.TW,65.50,4.20,6.85%,65.50,4.20,6.85%,66.60,62.00
